"State Name",,,,,"Alignment Pass/Fail",Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables
"Step Name",,,,,"Alignment Status","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable"
"Result Name",,,,,"Step Status",01_Product,"02_Alignment Score",03_Row,04_Column,"05_Device ID",06_Header,"07_Lot ID","08_Manual Pass Fail","09_Max Corner Void","10_Max Void","11_Mean Void","12_Median Void","13_Void Score","14_Device Status","15_MES ID",16_X,17_Y,Tool
Units,,,,,,,,,,,,,,,,,,,,,,,
Iteration,Date,Time,"Time (milliseconds)",Status
1,2/11/2021,"4:00:14 PM",550,Pass,Pass,TEM70,912.58508,1.00000,1.00000,1.00000,BH,MD21-09199,na,0.00000,34.83333,8.14722,1.66667,0.00000,Pass,1.00000,2293.17822,152.02937,CSAM2
1,2/11/2021,"4:00:14 PM",635,Pass,Pass,TEM70,901.14154,1.00000,2.00000,2.00000,BH,MD21-09199,Fail,0.00000,44.94444,8.27556,1.76389,9.00000,Fail,2.00000,2113.01147,151.02316,CSAM2
1,2/11/2021,"4:00:14 PM",646,Pass,Pass,TEM70,901.52490,1.00000,3.00000,3.00000,BH,MD21-09199,na,0.00000,34.83333,7.90611,2.55556,0.00000,Pass,3.00000,1933.21265,150.46922,CSAM2
1,2/11/2021,"4:00:14 PM",656,Pass,Pass,TEM70,858.20288,1.00000,4.00000,4.00000,BH,MD21-09199,Fail,0.00000,36.11111,10.29500,5.09722,9.00000,Fail,4.00000,1753.08704,149.52702,CSAM2
1,2/11/2021,"4:00:14 PM",667,Pass,Pass,TEM70,878.28699,1.00000,5.00000,5.00000,BH,MD21-09199,Pass,0.00000,53.19444,10.38556,5.06944,0.00000,Pass,5.00000,1572.79028,148.75630,CSAM2
1,2/11/2021,"4:00:14 PM",678,Pass,Pass,TEM70,901.59485,1.00000,6.00000,6.00000,BH,MD21-09199,na,0.00000,34.83333,7.58667,0.69444,0.00000,Pass,6.00000,1393.65173,148.54910,CSAM2
