"State Name",,,,,"Alignment Pass/Fail",Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables
"Step Name",,,,,"Alignment Status","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable","Inspection Variable"
"Result Name",,,,,"Step Status",01_Product,"02_Alignment Score",03_Row,04_Column,"05_Device ID",06_Header,"07_Lot ID","08_Manual Pass Fail","09_Max Corner Void","10_Max Void","11_Mean Void","12_Median Void","13_Void Score","14_Device Status","15_MES ID",16_X,17_Y,Tool
Units,,,,,,,,,,,,,,,,,,,,,,,
Iteration,Date,Time,"Time (milliseconds)",Status
1,2/11/2021,"4:06:25 PM",851,Pass,Pass,TEM70,897.99432,1.00000,1.00000,1.00000,TH,MD21-09199,na,0.00000,2.50000,0.25000,0.00000,0.00000,Pass,1.00000,328.49448,147.59497,CSAM2
1,2/11/2021,"4:06:25 PM",865,Pass,Pass,TEM70,338.24707,1.00000,2.00000,2.00000,TH,MD21-09199,na,0.00000,20.90278,0.92917,0.00000,0.00000,Fail,2.00000,463.73969,175.99808,CSAM2
1,2/11/2021,"4:06:25 PM",876,Pass,Pass,TEM70,930.85889,1.00000,3.00000,3.00000,TH,MD21-09199,na,0.00000,2.63889,0.31944,0.00000,0.00000,Pass,3.00000,689.82703,149.31107,CSAM2
1,2/11/2021,"4:06:25 PM",888,Pass,Pass,TEM70,896.21594,1.00000,4.00000,4.00000,TH,MD21-09199,na,0.00000,5.13889,0.38333,0.00000,0.00000,Pass,4.00000,870.50134,149.28181,CSAM2
1,2/11/2021,"4:06:25 PM",901,Pass,Pass,TEM70,921.74915,1.00000,5.00000,5.00000,TH,MD21-09199,na,0.00000,2.50000,0.27500,0.00000,0.00000,Pass,5.00000,1049.87952,150.07034,CSAM2
1,2/11/2021,"4:06:25 PM",914,Pass,Pass,TEM70,260.59988,1.00000,6.00000,6.00000,TH,MD21-09199,na,0.00000,2.50000,0.27917,0.00000,0.00000,Fail,6.00000,1182.68604,176.15073,CSAM2
